Sector,Value
Energy,9.8
Residential,33.1
Industry,9.5
Transport,12.4
Waste,3.2
Agriculture,6.6
Agr. Waste Burning,0.2
Other Fires,4
Windblown Dust,2.4
Shipping,1
Anthropogenic dust,4.7
Commercial,0.4
Solvents,0
Other Combustion,0.5
Remaining Sources,12.2
