Sector,Value
Energy,6.9
Residential,27.9
Industry,5.7
Transport,5.5
Waste,5.4
Agriculture,1.3
Agr. Waste Burning,1.3
Other Fires,22.2
Windblown Dust,2.6
Shipping,0.9
Anthropogenic dust,10
Commercial,1.1
Solvents,0.1
Other Combustion,1.1
Remaining Sources,8
