Sector,Value
Energy,9.8
Residential,16.1
Industry,17.1
Transport,5.7
Waste,5.5
Agriculture,3.4
Agr. Waste Burning,0.4
Other Fires,1.4
Windblown Dust,1.4
Shipping,2.2
Anthropogenic dust,13.6
Commercial,2.8
Solvents,0
Other Combustion,0.4
Remaining Sources,20.2
