Sector,Value
Energy,26.2
Residential,12.3
Industry,5
Transport,18.5
Waste,5.9
Agriculture,4.2
Agr. Waste Burning,0.1
Other Fires,2.6
Windblown Dust,0.4
Shipping,3.1
Anthropogenic dust,7.1
Commercial,0.3
Solvents,0.1
Other Combustion,0.3
Remaining Sources,13.8
