Sector,Value
Energy,8.3
Residential,19.9
Industry,11.1
Transport,6.6
Waste,5.8
Agriculture,4.9
Agr. Waste Burning,1
Other Fires,13.4
Windblown Dust,4.9
Shipping,0.7
Anthropogenic dust,13.1
Commercial,1.6
Solvents,0.5
Other Combustion,1.6
Remaining Sources,6.5
