Sector,Value
Energy,10.3
Residential,30.6
Industry,10.4
Transport,5.4
Waste,4
Agriculture,3.6
Agr. Waste Burning,1.2
Other Fires,9.1
Windblown Dust,4.7
Shipping,0.8
Anthropogenic dust,9.2
Commercial,1.6
Solvents,0.6
Other Combustion,1.9
Remaining Sources,6.6
