Sector,Value
Energy,6.3
Residential,37
Industry,9.5
Transport,6.2
Waste,8.1
Agriculture,4.3
Agr. Waste Burning,1
Other Fires,3.2
Windblown Dust,2.8
Shipping,1
Anthropogenic dust,10.2
Commercial,2.3
Solvents,0.2
Other Combustion,3
Remaining Sources,5
