Sector,Value
Energy,1
Residential,8.9
Industry,2
Transport,9.4
Waste,1.3
Agriculture,2.2
Agr. Waste Burning,0.2
Other Fires,21.1
Windblown Dust,15.7
Shipping,1.4
Anthropogenic dust,2.2
Commercial,0.1
Solvents,0
Other Combustion,0.1
Remaining Sources,34.4
