Sector,Value
Energy,8.2
Residential,10.7
Industry,4.9
Transport,13.1
Waste,3.4
Agriculture,2.9
Agr. Waste Burning,0.6
Other Fires,4
Windblown Dust,1
Shipping,2.7
Anthropogenic dust,11.9
Commercial,1
Solvents,0.4
Other Combustion,0.8
Remaining Sources,34.4
