Sector,Value
Energy,15.4
Residential,14.7
Industry,20.2
Transport,9.1
Waste,6
Agriculture,2.7
Agr. Waste Burning,1.6
Other Fires,5.9
Windblown Dust,3.2
Shipping,0.9
Anthropogenic dust,11.3
Commercial,1.3
Solvents,0.4
Other Combustion,1.5
Remaining Sources,5.8
