Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10to15,0.00,0.00,0.00,0.05,0.10,0.00,0.05,0.10,0.15,0.19,0.00,0.21,0.21,0.24,0.00,0.00,0.08,0.04,0.12,0.46,0.89,1.93,1.84,0.96,1.93,2.16,2.00,2.81,2.08,1.92,1.46
15to25,6.07,9.32,12.57,15.81,17.11,18.41,16.54,14.67,12.80,9.31,5.82,13.02,9.12,10.17,4.55,5.90,6.59,6.26,7.18,17.03,71.50,97.21,89.96,53.27,95.84,96.96,95.45,96.34,94.00,94.22,75.43
25to35,93.70,91.61,89.52,87.43,84.44,81.44,83.64,85.83,88.03,91.01,94.00,86.23,90.11,89.01,94.79,93.40,92.64,90.92,91.94,82.33,27.43,0.69,8.02,45.59,2.05,0.70,2.38,0.68,3.76,3.69,22.94
>35,0.10,0.08,0.06,0.04,0.02,0.00,0.08,0.16,0.24,0.12,0.00,0.36,0.39,0.41,0.48,0.52,0.52,2.60,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
