Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,97.54,97.83,98.12,98.42,98.71,99.00,99.05,99.05,99.05,99.05,99.05,99.05,98.57,98.96,98.59,98.97,98.57,98.99,99.09,98.64,99.35,99.79,99.25,99.26,99.78,99.79,99.38,99.84,99.78,99.39,99.39
10to15,2.29,1.96,1.63,1.31,0.98,0.87,0.79,0.79,0.79,0.79,0.79,0.79,1.27,0.88,1.25,0.87,1.27,0.85,0.76,1.21,0.49,0.06,0.59,0.59,0.06,0.06,0.46,0.00,0.06,0.46,0.45
15to25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25to35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
>35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
