Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10to15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.22,0.18,0.13,0.23,0.25,0.24,0.31,0.25,0.25,0.27
15to25,0.45,0.58,0.61,0.63,0.66,0.68,0.69,0.70,0.71,0.53,0.52,0.80,0.62,0.74,0.65,0.61,0.53,0.65,0.70,0.82,3.35,13.85,3.84,2.42,8.74,12.71,8.77,26.54,9.11,7.57,8.10
25to35,45.23,44.29,43.33,42.37,41.41,43.36,40.61,38.51,36.41,34.31,31.36,23.72,20.43,25.65,16.83,18.81,17.13,12.71,15.63,16.14,61.01,73.82,64.51,56.27,71.48,72.17,71.93,65.90,68.90,65.69,63.77
>35,54.28,55.10,55.92,56.74,57.56,55.92,57.06,58.24,59.42,60.60,68.07,75.43,78.89,73.56,82.47,80.53,82.29,86.59,83.62,82.99,35.42,12.05,31.43,41.12,19.50,14.82,19.00,7.19,21.68,26.43,27.80
