Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.02,0.03,0.03,0.03,0.31,0.55,0.10,0.03,0.10
10to15,2.79,3.03,3.27,3.51,3.75,4.78,4.61,4.43,4.26,4.09,2.42,2.28,0.23,2.38,0.58,3.16,0.44,3.02,5.97,0.89,16.11,23.46,17.27,15.17,18.23,18.78,23.44,27.78,21.35,16.75,19.45
15to25,41.68,41.91,42.13,42.35,42.57,42.17,42.22,42.27,42.32,42.37,40.87,43.54,40.06,40.28,36.08,38.86,39.06,38.68,39.28,40.81,48.16,59.20,60.72,55.32,68.39,69.50,62.13,62.09,61.30,63.31,66.98
25to35,22.27,21.99,21.71,21.43,21.15,20.86,21.14,21.43,21.72,22.01,24.94,40.34,46.39,38.70,42.87,34.94,38.56,37.14,33.41,45.13,27.27,14.85,18.78,26.31,11.15,10.64,11.94,8.55,15.11,17.79,11.36
>35,31.88,31.40,30.92,30.44,29.96,30.93,30.95,30.97,30.98,31.00,30.58,12.66,12.16,17.48,19.34,21.91,20.83,20.06,20.24,12.09,7.36,1.19,2.15,2.12,1.16,0.00,1.14,0.00,1.12,1.11,1.10
