Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10to15,0.00,0.00,0.00,3.77,7.54,12.98,33.94,46.28,50.35,52.39,0.00,9.07,12.98,56.95,56.63,56.33,0.00,55.44,55.04,54.66,56.48,41.11,12.79,0.00,0.00,0.00,39.32,38.88,38.45,9.96,76.05
15to25,0.00,26.01,41.02,53.02,60.07,81.04,71.91,49.61,38.74,36.94,87.01,79.79,75.75,31.66,31.86,32.05,88.23,32.65,32.92,33.17,43.52,58.89,87.21,87.29,100.00,100.00,60.68,61.12,61.55,90.04,23.95
25to35,62.81,60.84,58.87,56.91,54.94,18.95,12.63,11.45,11.11,11.34,11.39,11.15,11.27,11.39,11.51,11.62,11.77,11.91,12.04,12.17,0.00,0.00,0.00,12.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
>35,37.19,22.60,8.00,2.79,1.74,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
