Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.00,0.04,0.08,0.12,0.16,0.20,0.22,0.23,0.22,0.27,0.31,0.65,0.20,0.34,0.21,0.21,0.18,0.37,0.42,0.33,1.75,1.80,1.05,1.04,1.04,0.81,3.17,4.98,1.99,0.93,1.15
10to15,0.43,1.60,2.78,3.95,4.62,5.29,5.04,4.79,4.22,4.43,4.63,5.00,2.42,4.40,2.87,4.06,1.27,3.94,4.69,4.60,13.99,26.44,18.01,14.40,23.70,25.43,21.33,38.97,26.21,19.27,29.41
15to25,56.21,56.27,56.32,56.37,56.34,55.40,55.71,56.02,56.22,57.25,58.28,61.99,63.29,66.68,64.33,64.60,61.51,65.02,62.50,67.38,62.21,63.81,63.08,65.41,66.73,63.30,55.77,48.00,60.61,62.96,64.11
25to35,23.92,23.60,23.29,22.98,22.66,22.34,22.48,22.63,23.06,22.41,21.77,19.75,26.15,21.65,25.66,22.84,29.32,24.58,24.50,23.47,20.22,7.57,16.92,18.21,8.03,9.97,18.57,7.60,10.70,15.71,4.96
>35,19.06,18.49,17.92,17.35,16.76,16.38,15.55,14.71,14.28,14.04,14.62,12.23,7.55,6.54,6.55,7.90,7.33,5.72,7.51,3.84,1.44,0.00,0.57,0.56,0.11,0.11,0.78,0.00,0.11,0.75,0.00
