Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.09,0.25,0.39,0.53,0.62,0.59,0.53,0.50,0.52,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,8.42,6.07,0.91,9.80,10.65,5.20,11.34,9.34,6.47,5.57
10to15,13.44,13.61,13.76,13.93,14.08,13.97,13.70,13.58,13.68,13.83,14.43,15.35,14.94,14.79,13.44,14.07,14.20,13.99,14.10,15.14,15.78,10.38,11.66,16.06,8.98,8.62,13.53,8.51,9.32,11.94,12.71
15to25,14.69,18.58,20.28,21.98,22.84,22.47,21.30,20.82,21.48,22.29,15.50,23.17,17.75,25.15,14.57,14.73,14.81,11.90,14.20,24.63,43.80,67.40,56.41,41.04,70.47,74.59,73.25,77.44,73.23,70.16,70.57
25to35,68.08,64.61,62.52,60.38,59.40,60.17,61.05,61.51,61.11,60.91,67.27,59.10,64.72,57.98,66.98,66.14,65.62,66.26,62.67,57.75,39.02,13.58,25.65,41.72,10.53,5.93,7.82,2.51,7.90,11.22,10.95
>35,3.47,3.04,2.89,2.79,2.72,2.56,2.68,3.03,3.25,3.44,2.55,2.15,2.34,1.84,4.77,4.83,5.14,7.61,8.81,2.26,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00
