Exposure,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5to10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.06,0.00,0.44,0.75,0.03,1.39,0.35,0.04,0.04
10to15,0.80,0.90,1.00,1.10,1.20,1.07,1.13,1.19,1.26,1.32,1.17,3.24,3.11,4.18,2.17,1.22,2.53,2.42,2.40,3.65,8.26,14.74,13.02,8.67,14.23,19.32,11.92,22.74,15.63,12.06,11.31
15to25,43.64,45.23,46.06,46.89,47.72,46.50,46.20,45.90,45.60,45.30,44.45,46.14,41.33,49.65,42.48,40.80,45.42,38.78,45.55,48.18,55.16,68.04,56.82,56.08,61.57,61.45,59.38,66.74,63.15,59.50,62.45
25to35,36.89,37.11,37.32,37.54,37.75,36.70,36.83,37.00,37.17,37.33,37.90,33.00,35.00,34.46,32.34,37.00,37.49,34.15,37.68,36.48,35.86,16.78,30.09,34.58,23.75,18.47,28.66,9.11,20.86,28.38,26.19
>35,18.65,17.86,17.07,16.28,15.49,15.71,15.53,15.36,15.19,15.02,16.47,17.60,20.53,11.69,22.99,20.97,14.54,24.63,14.36,11.67,0.70,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00
